# LAMMPS data file written by OVITO Basic 3.7.8
148 atoms
2 atom types
0.0 15.92720863 xlo xhi
0.0 13.79347811 ylo yhi
0.0 13.22380977 zlo zhi
-7.963415974 0.0 0.0 xy xz yz

Masses

1 95.94  # Mo
2 32.065  # S

Atoms  # charge

1 1 0.0 8.41961e-05 1.839093018 3.305950055
2 1 0.0 1.592666556 0.919592858 9.917870413
3 2 0.0 1.592792887 0.919530311 4.870724234
4 2 0.0 -4.02369e-05 1.839158849 11.48261468
5 2 0.0 1.592791969 0.919526898 1.741194285
6 2 0.0 -4.18033e-05 1.839159228 8.353083742
7 1 0.0 -1.592597621 4.597789031 3.305962359
8 1 0.0 -1.55055e-05 3.678288967 9.917853511
9 2 0.0 1.08934e-04 3.678225386 4.870718168
10 2 0.0 -1.592723949 4.597854865 11.48261616
11 2 0.0 1.10205e-04 3.678220602 1.741187638
12 2 0.0 -1.592723081 4.597854578 8.353085641
13 1 0.0 -3.185281087 7.356485001 3.305971672
14 1 0.0 -1.59269848 6.436985107 9.917853381
15 2 0.0 -1.592574062 6.436918801 4.870713946
16 2 0.0 -3.185408178 7.356551222 11.48261401
17 2 0.0 -1.592572116 6.436919467 1.741183603
18 2 0.0 -3.185406881 7.356548853 8.353083645
19 1 0.0 -4.777965811 10.11518084 3.305965602
20 1 0.0 -3.185382443 9.195679945 9.917868999
21 2 0.0 -3.185257025 9.195612579 4.870716798
22 2 0.0 -4.778090675 10.11524585 11.48261099
23 2 0.0 -3.185257762 9.195617819 1.741186934
24 2 0.0 -4.778092488 10.11524424 8.353081094
25 1 0.0 -6.370649378 12.87387633 3.3059527
26 1 0.0 -4.778066826 11.95437551 9.917880004
27 2 0.0 -4.777939949 11.9543095 4.870723482
28 2 0.0 -6.37077297 12.87394113 11.4826122
29 2 0.0 -4.777943177 11.95431268 1.741193136
30 2 0.0 -6.370776721 12.87394055 8.353081507
31 1 0.0 3.185526072 1.839093896 3.305953896
32 1 0.0 4.778107098 0.919593358 9.917881477
33 2 0.0 4.778235441 0.919529289 4.87072192
34 2 0.0 3.18540168 1.83915725 11.48260971
35 2 0.0 4.778232694 0.919527403 1.741192291
36 2 0.0 3.185396892 1.839158223 8.35307843
37 1 0.0 1.592842239 4.597788455 3.305961509
38 1 0.0 3.185425649 3.678287694 9.917867885
39 2 0.0 3.185551988 3.678225485 4.870719098
40 2 0.0 1.592719608 4.597853 11.48261422
41 2 0.0 3.185550885 3.678221755 1.741189148
42 2 0.0 1.592716841 4.597854433 8.353083403
43 1 0.0 1.5921e-04 7.35648425 3.305970342
44 1 0.0 1.592743321 6.436984203 9.917862285
45 2 0.0 1.592867128 6.436918145 4.870716573
46 2 0.0 1.592867659 6.436918759 1.741186827
47 2 0.0 3.55093e-05 7.35654844 8.353084135
48 1 0.0 -1.592524421 10.11518027 3.305967183
49 1 0.0 6.04589e-05 9.195680005 9.917871506
50 2 0.0 1.83315e-04 9.195612817 4.87072006
51 2 0.0 -1.592648977 10.11524721 11.48260907
52 2 0.0 1.84529e-04 9.195616675 1.741189028
53 2 0.0 -1.592648186 10.11524255 8.353079529
54 1 0.0 -3.185208103 12.87387595 3.305956795
55 1 0.0 -1.592625114 11.9543759 9.917883342
56 2 0.0 -1.592499357 11.95430975 4.870720965
57 2 0.0 -3.185332158 12.873942 11.48260633
58 2 0.0 -1.59250089 11.95431114 1.741191297
59 2 0.0 -3.185335468 12.87393992 8.353076212
60 1 0.0 6.370968192 1.839093342 3.305952513
61 1 0.0 7.96354838 0.919594705 9.917881865
62 2 0.0 7.963677223 0.919528857 4.870719811
63 2 0.0 6.370840594 1.839159435 11.48260394
64 2 0.0 7.963675965 0.919526444 1.741190152
65 2 0.0 6.370839535 1.839159116 8.353073535
66 1 0.0 4.778285419 4.597787983 3.305958946
67 1 0.0 6.370865278 3.678289077 9.917873915
68 2 0.0 6.370995515 3.678224425 4.870717171
69 2 0.0 4.778159741 4.597852143 11.48260875
70 2 0.0 6.370993228 3.678221843 1.741187456
71 2 0.0 4.778155583 4.597856072 8.353077998
72 1 0.0 3.185601304 7.356483842 3.305962553
73 1 0.0 4.778182586 6.436984733 9.917872609
74 2 0.0 4.778310525 6.436917658 4.870717051
75 2 0.0 4.778309308 6.436919006 1.741187431
76 2 0.0 3.185475216 7.356551983 8.353083131
77 1 0.0 1.59291711 10.11518061 3.305959471
78 1 0.0 3.185501356 9.195682376 9.917877644
79 2 0.0 3.18562467 9.195611968 4.870721435
80 2 0.0 1.592791942 10.11524912 11.48261118
81 2 0.0 3.185625883 9.195616722 1.74119209
82 2 0.0 1.592794305 10.11524561 8.353080946
83 1 0.0 2.33909e-04 12.87387534 3.305951367
84 1 0.0 1.592816622 11.95437775 9.917882813
85 2 0.0 1.592941537 11.95431054 4.870722896
86 2 0.0 1.06279e-04 12.87394371 11.48260522
87 2 0.0 1.592943799 11.95431074 1.741193384
